Products,Products,Products,,,,Products
Name,Description,Category,GST,Rent,Purchase Price,Qty
SKIRT-67C,Majenta flower skirt,Skirt,5,175.00,500.00,1
SKIRT-67B,Majenta embroidery skirt,Skirt,5,175.00,500.00,1
SKIRT-67A,Purple embroidery skirt,Skirt,5,175.00,500.00,1
SKIRT-67,Green embroidery skirt,Skirt,5,175.00,500.00,1
SKIRT-66,Orange net/Bluefreen sequence border,Skirt,5,175.00,500.00,8
SKIRT-65,Sky blue satin/Gold satin border,Skirt,5,175.00,500.00,8
SKIRT-64,White dot net/ Red border,Skirt,5,150.00,500.00,12
SKIRT-63,Green net/ Blue gold sequence border,Skirt,5,175.00,500.00,10
SKIRT-62,Red dot net/Blue gold border,Skirt,5,180.00,500.00,10
SKIRT-61,Blue sequence/ Mayilpeeli skirt,Skirt,5,250.00,500.00,7
SKIRT-60,White flower net gold sequence border,Skirt,5,150.00,500.00,12
SKIRT-59,Red net/Blue small,Skirt,5,175.00,500.00,10
SKIRT-58,Green blue slit,Skirt,5,125.00,500.00,7
SKIRT-57,Multi colour slt skirt,Skirt,5,150.00,500.00,12
SKIRT-56,Blue net/Majenta gold border,Skirt,5,225.00,500.00,10
SKIRT-55,Red net self design/Blue bprder,Skirt,5,125.00,500.00,7
SKIRT-54,Majenta net/ Green Small,Skirt,5,175.00,500.00,10
SKIRT-53,Sky blue net dot/Gold sequence border,Skirt,5,225.00,500.00,8
SKIRT-52,Green net gold dot/Gold border,Skirt,5,180.00,500.00,9
SKIRT-51,Gold banyancloth/Green seq Border,Skirt,5,225.00,500.00,9
SKIRT-50,Copper sulphate/Full sequence border,Skirt,5,260.00,500.00,9
SKIRT-49,Peacock bluegold print/Gold border,Skirt,5,225.00,500.00,10
SKIRT-48,Plain black/Gold Border,Skirt,5,225.00,500.00,15
SKIRT-47,Red seq design/ small sequence border,Skirt,5,250.00,500.00,7
SKIRT-46,Majenta banyan cloth/Slit longborder,Skirt,5,180.00,500.00,10
SKIRT-45,Majenta full sequence/Gold border,Skirt,5,260.00,500.00,10
SKIRT-44,Dark green/Majenta baniyan cloth,Skirt,5,225.00,500.00,7
SKIRT-43,Light pink/Gold sequence border,Skirt,5,325.00,500.00,10
SKIRT-42,Majenta net/ manbgo design border small,Skirt,5,260.00,500.00,9
SKIRT-41,Black gold embroidery/Red border,Skirt,5,290.00,500.00,10
SKIRT-40,Yellow net small dot/Blue seq border,Skirt,5,260.00,500.00,10
SKIRT-39,Majenta dot/Gold border,Skirt,5,225.00,500.00,15
SKIRT-38,Peacock skirt,Skirt,5,260.00,500.00,1
SKIRT-37,Red net/ Red embroidery border,Skirt,5,225.00,500.00,10
SKIRT-36,Royal blue net/Gold miror border,Skirt,5,260.00,500.00,5
SKIRT-35,Royal blue full seq gold/Majenta border,Skirt,5,290.00,500.00,10
SKIRT-34,Yellow net/Mirror border,Skirt,5,290.00,500.00,9
SKIRT-33,Peach emroidery/Black border,Skirt,5,325.00,500.00,8
SKIRT-32,Red net/Blue sequence border,Skirt,5,260.00,500.00,10
SKIRT-31,Royal blue embroidery/Red sequence border,Skirt,5,290.00,500.00,9
SKIRT-30,Sky blue silver sequence/Silver border,Skirt,5,325.00,500.00,12
SKIRT-29,Green sequence/Red Border,Skirt,5,290.00,500.00,10
SKIRT-28,Red round embroidery/ Sequence border,Skirt,5,290.00,500.00,10
SKIRT-27,Red full gold dot/gold sequence border,Skirt,5,325.00,500.00,5
SKIRT-26,Yellow net/Red diamond border,Skirt,5,225.00,500.00,10
SKIRT-25,Plain green net/Gold Border,Skirt,5,225.00,500.00,11
SKIRT-24,Gold dot/Gold border,Skirt,5,260.00,500.00,10
SKIRT-23,Majebta Embroidery border,Skirt,5,325.00,500.00,5
SKIRT-22,Majenta net/Mango design border,Skirt,5,325.00,500.00,7
SKIRT-21,Red gold mirror/2 line border,Skirt,5,260.00,500.00,13
SKIRT-20,White gold design,Skirt,5,260.00,500.00,6
SKIRT-19,Yellow Green Border,Skirt,5,225.00,500.00,11
SKIRT-18,Black dot skirt,Skirt,5,260.00,500.00,9
SKIRT-17,Blue net/Gold Majenta square design,Skirt,5,325.00,500.00,11
SKIRT-16,Kilipacha gold dot/Gold border,Skirt,5,225.00,500.00,7
SKIRT-15,Orange flower net skirt,Skirt,5,260.00,500.00,14
SKIRT-14,Majenta/Gold triangle design,Skirt,5,325.00,500.00,10
SKIRT-13,Kilipacha/Majenta border,Skirt,5,225.00,500.00,10
SKIRT-12,Red stripes,Skirt,5,370.00,500.00,1
SKIRT-11,WHITE/GOLD,Skirt,5,225.00,500.00,12
SKIRT-9,RED/GREEN,Skirt,5,225.00,500.00,7
SKIRT-8,BLUE/GOLD,Skirt,5,175.00,500.00,9
SKIRT-7,White silver sequence skirt,Skirt,5,225.00,500.00,12
SKIRT-6,GOLD/GOLD,Skirt,5,225.00,500.00,10
SKIRT-5,WHITE/GOLD,Skirt,5,325.00,500.00,12
SKIRT-4,YELLOW,Skirt,5,325.00,500.00,8
SKIRT-3,RED/PINK,Skirt,5,260.00,500.00,5
SKIRT-2,GOLD/BLACK,Skirt,5,260.00,500.00,10
SKIRT-1,RED/WHITE,Skirt,5,260.00,500.00,7
SHAWL-45,Yellow dot net shawl with border,Shawl,5,50.00,,10
SHAWL-44,Red dot net shawl with border,Shawl,5,50.00,,11
SHAWL-43,Green net(Lili pacha),Shawl,5,30.00,,8
SHAWL-42,Long gold net with border,Shawl,5,50.00,,12
SHAWL-41,Gold with stone border,Shawl,5,30.00,,10
SHAWL-40,SKY BLUE SEQUENCE MEDIUM,Shawl,5,30.00,,2
SHAWL-39,SKY BLUE NET,Shawl,5,30.00,,3
SHAWL-38,BLUE/GOLD BORDER,Shawl,5,30.00,,9
SHAWL-37,GREEN/BLUE BORDER SMALL,Shawl,5,30.00,,6
SHAWL-36,GREEN/BLUE BORDER,Shawl,5,30.00,,8
SHAWL-35,GREEN NET/ GOLD DOT MEDIUM,Shawl,5,30.00,,8
SHAWL-34,GREEN/GOLD BORDER SMALL,Shawl,5,30.00,,4
SHAWL-33,GREEN/GOLD BORDER LARGE,Shawl,5,30.00,,8
SHAWL-32,GREEN NET/GOLD BORDER MEDIUM,Shawl,5,30.00,,13
SHAWL-31,ORANGE/GOLD BORDER LARGE,Shawl,5,30.00,,16
SHAWL-30,ORANGE /GOLD BORDER MEDIUM,Shawl,5,30.00,,10
SHAWL-29,RED EMBROIDERY,Shawl,5,30.00,,12
SHAWL-28,RED/GOLD EMBROIDERY MEDIUM,Shawl,5,30.00,,6
SHAWL-27,RED/GOLD DOT SMALL,Shawl,5,30.00,,2
SHAWL-26,RED NET/BIG DOT SMALL SIZE,Shawl,5,30.00,,10
SHAWL-25,RED/GOLD BORDER,Shawl,5,30.00,,7
SHAWL-24,RED PLAIN NET,Shawl,5,30.00,,5
SHAWL-23,RED/SILVER BORDER,Shawl,5,30.00,,10
SHAWL-22,RED PLAIN,Shawl,5,30.00,,5
SHAWL-21,WHITE/SILVER BORDER MEDIUM,Shawl,5,30.00,,7
SHAWL-20,WHITE NET,Shawl,5,30.00,,2
SHAWL-19,WHITE PLAIN,Shawl,5,30.00,,6
SHAWL-18,BLACK/GREEN BORDER,Shawl,5,30.00,,3
SHAWL-17,BLACK/SMALL DOT,Shawl,5,30.00,,13
SHAWL-16,BLACK/GOLD BORDER,Shawl,5,30.00,,10
SHAWL-15,PLAIN MAJENTA,Shawl,5,30.00,,5
SHAWL-14,MAGENTA GOLD EMBROIDERY,Shawl,5,30.00,,9
SHAWL-13,MAJENTA DOT MEDIUM,Shawl,5,30.00,,10
SHAWL-12,MAJENTA SMALL,Shawl,5,30.00,,13
SHAWL-11,MAJENTA BORDER EMBROIDERY,Shawl,5,30.00,,8
SHAWL-10,GOLD EMBROIDERY,Shawl,5,30.00,,11
SHAWL-9,GOLD NET DOT SEQUENCE,Shawl,5,30.00,,10
SHAWL-8,GOLD NET MIRROR,Shawl,5,30.00,,4
SHAWL-7,GOLD NET,Shawl,5,30.00,,16
SHAWL-6,GOLD/GOLD SATIN,Shawl,5,30.00,,4
SHAWL-5,GOLD/GOLD BORDER,Shawl,5,30.00,,2
SHAWL-4,GOLD/BLACK BORDER,Shawl,5,30.00,,4
SHAWL-3,GOLD /PEARL,Shawl,5,30.00,,8
SHAWL-2,GOLD BIG DOTS,Shawl,5,30.00,,38
SHAWL-1,GOLD SEQUENCE DOT,Shawl,5,30.00,,15
SEMI-56,Mehandi green renga pooja Skirt model UP,Semi Classical,5,1000,3200.00,9
SEMI-55,Black brocade Red border crossfril kacha model HSS,Semi Classical,5,1500,3200.00,10
SEMI-54,Majent/dark green kacha crossfril LP,Semi Classical,5,1000,2800.00,6
SEMI-53,Parrot green/Majenta crossfril adult HSS,Semi Classical,5,1200,3200.00,10
SEMI-52,Kacha Offwhite/Marroon crossfril Big,Semi Classical,5,1200,3200.00,10
SEMI-51,Orange Marroon skirt cross frill saree type,Semi Classical,5,1050.00,.,10
SEMI-50,Plain green skirt BH,Semi Classical,5,750.00,2200.00,1
SEMI-49,Ravana set KG,Semi Classical,5,530.00,1800.00,7
SEMI-48,Yellow net pant dawani,Semi Classical,5,370.00,1800.00,5
SEMI-47,Peacock blue,Semi Classical,5,630.00,2200.00,2
SEMI-46,Green Red,Semi Classical,5,630.00,2200.00,2
SEMI-45,Royal blue red,Semi Classical,5,630.00,2200.00,2
SEMI-44,Green dot saree model Red top,Semi Classical,5,750.00,2200.00,10
SEMI-43,Full black dot saree model,Semi Classical,5,750.00,2200.00,10
SEMI-42,Black satin silver seq Nagam dress,Semi Classical,5,750.00,2200.00,3
SEMI-41,Yellow satin/blue dhothi Manichithra thazhu semi,Semi Classical,5,420.00,1800.00,12
SEMI-40,White pleated pant & saree net dot no blouse,Semi Classical,5,1050.00,3200.00,10
SEMI-39,Dark Blue Light Blue check saree semi,Semi Classical,5,1260.00,3200.00,10
SEMI-38,Green Blue check mode; semi,Semi Classical,5,1260.00,3200.00,10
SEMI-37,Violet Majenta Saree model semi,Semi Classical,5,1300.00,3200.00,7
SEMI-36,Blue/ Orange Skirt BH,Semi Classical,5,420.00,1800.00,1
SEMI-35,Blue Majenta/Renga pooja KG,Semi Classical,5,370.00,1800.00,8
SEMI-34,Violet/Majenta brocade,Semi Classical,5,420.00,1800.00,3
